ticker,close_time,strike,result
KXETH-26MAR1817-B2160,2026-03-25 21:00:00+00:00,2160.0,no
KXETH-26MAR1803-B2390,2026-03-25 07:00:00+00:00,2390.0,no
KXETH-26MAR1802-B2170,2026-03-25 06:00:00+00:00,2170.0,no
KXETH-26MAR1800-B2790,2026-03-25 04:00:00+00:00,2790.0,no
KXETH-26MAR1801-B2170,2026-03-25 05:00:00+00:00,2170.0,no
KXETH-26MAR1723-B2290,2026-03-25 03:00:00+00:00,2290.0,no
KXETH-26MAR1722-B2150,2026-03-25 02:00:00+00:00,2150.0,no
KXETH-26MAR1720-B2790,2026-03-25 00:00:00+00:00,2790.0,no
KXETH-26MAR1721-B2170,2026-03-25 01:00:00+00:00,2170.0,no
KXETH-26MAR1719-B2290,2026-03-24 23:00:00+00:00,2290.0,no
KXETH-26MAR1718-B2150,2026-03-24 22:00:00+00:00,2150.0,no
KXETH-26MAR1715-B2790,2026-03-24 19:00:00+00:00,2790.0,no
KXETH-26MAR1716-B2110,2026-03-24 20:00:00+00:00,2110.0,no
KXETH-26MAR1714-B2290,2026-03-24 18:00:00+00:00,2290.0,no
KXETH-26MAR1713-B2130,2026-03-24 17:00:00+00:00,2130.0,no
KXETH-26MAR1711-B2790,2026-03-24 15:00:00+00:00,2790.0,no
KXETH-26MAR1712-B2130,2026-03-24 16:00:00+00:00,2130.0,no
KXETH-26MAR1710-B2290,2026-03-24 14:00:00+00:00,2290.0,no
KXETH-26MAR1709-B2170,2026-03-24 13:00:00+00:00,2170.0,no
KXETH-26MAR1707-B2790,2026-03-24 11:00:00+00:00,2790.0,no
KXETH-26MAR1708-B2170,2026-03-24 12:00:00+00:00,2170.0,no
KXETH-26MAR1706-B2290,2026-03-24 10:00:00+00:00,2290.0,no
KXETH-26MAR1705-B2150,2026-03-24 09:00:00+00:00,2150.0,no
KXETH-26MAR1703-B2790,2026-03-24 07:00:00+00:00,2790.0,no
KXETH-26MAR1704-B2170,2026-03-24 08:00:00+00:00,2170.0,no
